codeCPV,count
39154100-7,37
44470000-5,37
09323000-9,37
55300000,37
72268000,37
90510000,37
50883000,37
71800000-6,36
15612500-6,36
90911300,36
45111200-0,36
03121100-6,36
22112000-8,36
15842300-5,36
33112200-0,36
15900000-7,36
66513100,36
45232151,36
09100000-0,36
72413000,36
45213150-9,36
22000000-0,36
79341100-7,36
31527260,36
72212900,36
45120000-4,36
79341400-0,36
79530000-8,36
16000000-5,36
45312100-8,36
42600000-2,36
50870000,36
34144200-0,36
44115210,36
33180000-5,36
45212320-5,36
45215500-2,36
79820000-8,35
45215222-9,35
45212290,35
45421140,35
24962000,35
79341200-8,35
71314100,35
16311100-9,35
71356000-8,35
45421100,35
72415000-2,35
39298900-6,35
45233100-0,35
85143000-3,35
90524400,35
79956000-0,35
71700000,35
34351100,35
44112200,35
45223300,35
19200000-8,34
98000000-3,34
44112100-9,34
45331200,34
45233228-3,34
45213316-1,34
41110000,34
55221000-5,34
39154000-6,34
92310000-7,34
71242000,34
45214400,34
90513700-3,34
18424300-0,34
03120000,34
79980000,34
30190000-7,34
64100000-7,34
71314200-4,34
79954000,34
03121100,34
79212100-4,34
45262400-5,34
90611000,34
45440000,34
30236000-2,34
45233225-2,34
45232300-5,34
45432113-9,34
24300000-7,34
35261000-1,33
45331100,33
92312211-3,33
16160000,33
03220000-9,33
50712000-9,33
85310000,33
35811200-4,33
50118110-9,33
50532000-3,33
60140000,33
45262200-3,33
63100000-0,33
77211100-3,33
45261220-2,33
45223200-8,33
34139100-1,33
71631450,33
74222300-4,33
09331200,33
44212320-8,33
34922100-7,33
92000000,33
44613800,33
90711000-4,33
60000000,33
66519310,33
34143000-1,33
44113310-1,33
50111100-7,32
50421000-2,32
31625200-5,32
15111000-9,32
98130000-3,32
71354100-5,32
44112300,32
45246200,32
71314300,32
45341000-9,32
37520000-9,32
45343200-5,32
48900000,32
45211300,32
45215200,32
45216120,32
79933000,32
90711000,32
45233260-9,32
34144000-8,32
92622000-7,32
98300000-6,32
55521200,32
50110000,32
79993100-2,32
98310000,31
77312000-0,31
45234126-5,31
85111820-4,31
79421200-3,31
77300000-3,31
90922000,31
03121000,31
75242110-8,31
22440000-6,31
39160000,31
03310000-5,31
71316000-6,31
34144510,31
48180000-3,31
77341000,31
45233121-3,31
45421131,31
32412110-8,31
30234300-1,31
45246410,31
34927100,31
79342000,31
45261920,31
50230000-6,31
34928300-1,30
32342410,30
92311000,30
39110000-6,30
72243000-0,30
98351000-8,30
31625100-4,30
90523000-9,30
45213000,30
34224000-3,30
92620000-3,30
33183200,30
72212000-4,30
92500000-6,30
39811000-0,30
34130000-7,30
77313000-7,30
65210000-8,30
79953000,30
45313000,30
72224000,30
15980000-1,30
79140000-7,30
90121120-8,30
39511100-8,30
44113300-8,30
41100000-0,30
50312600-1,29
66170000-2,29
92360000,29
44190000-8,29
33100000,29
45111230-9,29
11200000-2,29
71355000-1,29
32322000-6,29
85121270,29
45252120-5,29
71247000-1,29
45212350,29
45316000,29
44211000-2,29
45232454,29
55320000-9,29
45214100,29
79824000,29
45421130,29
30213100-6,29
38720000-8,29
45332000,29
15500000,29
79341400,29
90524400-0,29
71317100-4,29
45213252-4,29
92521210,29
32400000,29
45211100-0,29
30213300-8,28
45262500,28
